State,Max,Min,Mean
cm,22.0,0.5,9.125
am,50.0,0.0,23.307692307692307
micrometer,10.7,0.35,5.0375
meter,1173.0,0.0,335.57
kmh,121.0,93.0,107.0
nanometer,100.0,1.0,50.5
min,7.5,1.73,4.743333333333333
GHz,183.0,2.33,79.87875000000001
ng,1500.0,700.0,825.0
kilometer,1500.0,0.0,424.51666666666665
pm,40.0,0.0,18.0
week,10.0,7.0,8.5
day,365.2425,1.0,38.561275510204084
minute,90.0,2.0,17.83695652173913
kHz,117.0,2.6,59.8
hour,426.0,1.0,50.744680851063826
g,10.0,0.0,3.4555555555555557
mm,5.0,0.87,2.9174999999999995
h,16.0,1.0,4.866666666666667
m,1200.0,0.0,182.54264705882355
MHz,1694.5,50.0,774.4166666666666
